Gender,Sector,Age,Vacc Period,Epi Day,Cohort,N_person,Rate_per_1K
female,General Jewish,80+,JanB,12/08/2021,2nd,17024,0.117481203
female,General Jewish,80+,JanB,12/08/2021,12+,433,0
female,General Jewish,80+,FebA,12/08/2021,2nd,17818,0.112246043
female,General Jewish,80+,FebA,12/08/2021,12+,70,0
female,General Jewish,80+,FebB,12/08/2021,2nd,3889,0
female,General Jewish,80+,FebB,12/08/2021,12+,<5,0
female,Arab,60-69,JanB,12/08/2021,2nd,3325,0
female,Arab,60-69,JanB,12/08/2021,12+,27,0
female,Arab,60-69,FebA,12/08/2021,2nd,7767,0
female,Arab,60-69,FebA,12/08/2021,12+,11,0
female,Arab,60-69,FebB,12/08/2021,2nd,3353,0
female,Arab,60-69,FebB,12/08/2021,12+,<5,0
female,Arab,70-79,JanB,12/08/2021,2nd,1809,0
female,Arab,70-79,JanB,12/08/2021,12+,11,0
female,Arab,70-79,FebA,12/08/2021,2nd,4129,0
female,Arab,70-79,FebA,12/08/2021,12+,7,0
female,Arab,70-79,FebB,12/08/2021,2nd,1639,0
female,Arab,70-79,FebB,12/08/2021,12+,<5,0
female,Arab,80+,JanB,12/08/2021,2nd,992,0
female,Arab,80+,JanB,12/08/2021,12+,<5,0
female,Arab,80+,FebA,12/08/2021,2nd,1597,0
female,Arab,80+,FebA,12/08/2021,12+,<5,0
female,Arab,80+,FebB,12/08/2021,2nd,627,0
female,ultra-Orthodox Jews,60-69,JanB,12/08/2021,2nd,1850,0
female,ultra-Orthodox Jews,60-69,JanB,12/08/2021,12+,13,0
female,ultra-Orthodox Jews,60-69,FebA,12/08/2021,2nd,2116,0
female,ultra-Orthodox Jews,60-69,FebA,12/08/2021,12+,5,0
female,ultra-Orthodox Jews,60-69,FebB,12/08/2021,2nd,780,0
female,ultra-Orthodox Jews,70-79,JanB,12/08/2021,2nd,1248,0
female,ultra-Orthodox Jews,70-79,JanB,12/08/2021,12+,20,0
female,ultra-Orthodox Jews,70-79,FebA,12/08/2021,2nd,1434,0
female,ultra-Orthodox Jews,70-79,FebA,12/08/2021,12+,<5,0
female,ultra-Orthodox Jews,70-79,FebB,12/08/2021,2nd,433,0
female,ultra-Orthodox Jews,80+,JanB,12/08/2021,2nd,866,0
female,ultra-Orthodox Jews,80+,JanB,12/08/2021,12+,6,0
female,ultra-Orthodox Jews,80+,FebA,12/08/2021,2nd,928,0
female,ultra-Orthodox Jews,80+,FebA,12/08/2021,12+,<5,0
female,ultra-Orthodox Jews,80+,FebB,12/08/2021,2nd,220,0
male,General Jewish,60-69,JanB,12/08/2021,2nd,33869,0.029525525
male,General Jewish,60-69,JanB,12/08/2021,12+,2211,0
male,General Jewish,60-69,FebA,12/08/2021,2nd,34021,0.02939361
male,General Jewish,60-69,FebA,12/08/2021,12+,199,0
male,General Jewish,60-69,FebB,12/08/2021,2nd,9053,0
male,General Jewish,60-69,FebB,12/08/2021,12+,12,0
male,General Jewish,70-79,JanB,12/08/2021,2nd,20314,0.147681402
male,General Jewish,70-79,JanB,12/08/2021,12+,1923,0
male,General Jewish,70-79,FebA,12/08/2021,2nd,17343,0.115320302
male,General Jewish,70-79,FebA,12/08/2021,12+,123,0
male,General Jewish,70-79,FebB,12/08/2021,2nd,3809,0.262536099
male,General Jewish,70-79,FebB,12/08/2021,12+,8,0
male,General Jewish,80+,JanB,12/08/2021,2nd,10700,0.093457944
male,General Jewish,80+,JanB,12/08/2021,12+,581,0
male,General Jewish,80+,FebA,12/08/2021,2nd,10388,0.192529842
male,General Jewish,80+,FebA,12/08/2021,12+,54,0
male,General Jewish,80+,FebB,12/08/2021,2nd,2134,0.468603561
male,General Jewish,80+,FebB,12/08/2021,12+,<5,0
male,Arab,60-69,JanB,12/08/2021,2nd,3921,0
male,Arab,60-69,JanB,12/08/2021,12+,61,0
male,Arab,60-69,FebA,12/08/2021,2nd,6952,0
male,Arab,60-69,FebA,12/08/2021,12+,11,0
male,Arab,60-69,FebB,12/08/2021,2nd,3086,0
male,Arab,60-69,FebB,12/08/2021,12+,<5,0
male,Arab,70-79,JanB,12/08/2021,2nd,1677,0
male,Arab,70-79,JanB,12/08/2021,12+,29,0
male,Arab,70-79,FebA,12/08/2021,2nd,3184,0.314070352
male,Arab,70-79,FebA,12/08/2021,12+,9,0
male,Arab,70-79,FebB,12/08/2021,2nd,1163,0
male,Arab,80+,JanB,12/08/2021,2nd,715,0
male,Arab,80+,JanB,12/08/2021,12+,8,0
male,Arab,80+,FebA,12/08/2021,2nd,1254,0
male,Arab,80+,FebA,12/08/2021,12+,<5,0
male,Arab,80+,FebB,12/08/2021,2nd,401,0
male,ultra-Orthodox Jews,60-69,JanB,12/08/2021,2nd,1791,0.558347292
male,ultra-Orthodox Jews,60-69,JanB,12/08/2021,12+,35,0
male,ultra-Orthodox Jews,60-69,FebA,12/08/2021,2nd,1816,0
male,ultra-Orthodox Jews,60-69,FebA,12/08/2021,12+,<5,0
male,ultra-Orthodox Jews,60-69,FebB,12/08/2021,2nd,651,0
male,ultra-Orthodox Jews,70-79,JanB,12/08/2021,2nd,1028,0.972762646
male,ultra-Orthodox Jews,70-79,JanB,12/08/2021,12+,24,0
male,ultra-Orthodox Jews,70-79,FebA,12/08/2021,2nd,997,0
male,ultra-Orthodox Jews,70-79,FebA,12/08/2021,12+,<5,0
male,ultra-Orthodox Jews,70-79,FebB,12/08/2021,2nd,274,0
male,ultra-Orthodox Jews,80+,JanB,12/08/2021,2nd,529,0
male,ultra-Orthodox Jews,80+,JanB,12/08/2021,12+,12,0
male,ultra-Orthodox Jews,80+,FebA,12/08/2021,2nd,556,0
male,ultra-Orthodox Jews,80+,FebA,12/08/2021,12+,<5,0
male,ultra-Orthodox Jews,80+,FebB,12/08/2021,2nd,124,0
female,General Jewish,60-69,JanB,13/08/2021,2nd,38246,0
female,General Jewish,60-69,JanB,13/08/2021,12+,5664,0
female,General Jewish,60-69,FebA,13/08/2021,2nd,40978,0
female,General Jewish,60-69,FebA,13/08/2021,12+,676,0
female,General Jewish,60-69,FebB,13/08/2021,2nd,11281,0
female,General Jewish,60-69,FebB,13/08/2021,12+,40,0
female,General Jewish,70-79,JanB,13/08/2021,2nd,23478,0
female,General Jewish,70-79,JanB,13/08/2021,12+,6096,0
female,General Jewish,70-79,FebA,13/08/2021,2nd,24063,0.041557578
female,General Jewish,70-79,FebA,13/08/2021,12+,790,0
female,General Jewish,70-79,FebB,13/08/2021,2nd,5840,0
female,General Jewish,70-79,FebB,13/08/2021,12+,29,0
female,General Jewish,80+,JanB,13/08/2021,2nd,15583,0.064172496
female,General Jewish,80+,JanB,13/08/2021,12+,2825,0
female,General Jewish,80+,FebA,13/08/2021,2nd,16820,0
female,General Jewish,80+,FebA,13/08/2021,12+,594,0
female,General Jewish,80+,FebB,13/08/2021,2nd,3772,0
female,General Jewish,80+,FebB,13/08/2021,12+,19,0
female,Arab,60-69,JanB,13/08/2021,2nd,3136,0
female,Arab,60-69,JanB,13/08/2021,12+,126,0
female,Arab,60-69,FebA,13/08/2021,2nd,7522,0.132943366
female,Arab,60-69,FebA,13/08/2021,12+,31,0
female,Arab,60-69,FebB,13/08/2021,2nd,3292,0
female,Arab,60-69,FebB,13/08/2021,12+,5,0
female,Arab,70-79,JanB,13/08/2021,2nd,1674,0
female,Arab,70-79,JanB,13/08/2021,12+,76,0
female,Arab,70-79,FebA,13/08/2021,2nd,4004,0
female,Arab,70-79,FebA,13/08/2021,12+,29,0
female,Arab,70-79,FebB,13/08/2021,2nd,1610,0
female,Arab,70-79,FebB,13/08/2021,12+,<5,0
female,Arab,80+,JanB,13/08/2021,2nd,938,0
female,Arab,80+,JanB,13/08/2021,12+,34,0
female,Arab,80+,FebA,13/08/2021,2nd,1540,0
female,Arab,80+,FebA,13/08/2021,12+,5,0
female,Arab,80+,FebB,13/08/2021,2nd,609,0
female,Arab,80+,FebB,13/08/2021,12+,<5,0
female,ultra-Orthodox Jews,60-69,JanB,13/08/2021,2nd,1767,0
female,ultra-Orthodox Jews,60-69,JanB,13/08/2021,12+,157,0
female,ultra-Orthodox Jews,60-69,FebA,13/08/2021,2nd,2067,0
female,ultra-Orthodox Jews,60-69,FebA,13/08/2021,12+,35,0
female,ultra-Orthodox Jews,60-69,FebB,13/08/2021,2nd,769,0
female,ultra-Orthodox Jews,70-79,JanB,13/08/2021,2nd,1205,0
female,ultra-Orthodox Jews,70-79,JanB,13/08/2021,12+,159,0
female,ultra-Orthodox Jews,70-79,FebA,13/08/2021,2nd,1402,0
female,ultra-Orthodox Jews,70-79,FebA,13/08/2021,12+,22,0
female,ultra-Orthodox Jews,70-79,FebB,13/08/2021,2nd,427,0
female,ultra-Orthodox Jews,70-79,FebB,13/08/2021,12+,<5,0
female,ultra-Orthodox Jews,80+,JanB,13/08/2021,2nd,829,2.412545235
female,ultra-Orthodox Jews,80+,JanB,13/08/2021,12+,73,0
female,ultra-Orthodox Jews,80+,FebA,13/08/2021,2nd,902,0
female,ultra-Orthodox Jews,80+,FebA,13/08/2021,12+,14,0
female,ultra-Orthodox Jews,80+,FebB,13/08/2021,2nd,216,0
male,General Jewish,60-69,JanB,13/08/2021,2nd,30656,0.097860125
male,General Jewish,60-69,JanB,13/08/2021,12+,7342,0
male,General Jewish,60-69,FebA,13/08/2021,2nd,32063,0
male,General Jewish,60-69,FebA,13/08/2021,12+,850,0
male,General Jewish,60-69,FebB,13/08/2021,2nd,8737,0
male,General Jewish,60-69,FebB,13/08/2021,12+,62,0
male,General Jewish,70-79,JanB,13/08/2021,2nd,18377,0.163247538
male,General Jewish,70-79,JanB,13/08/2021,12+,7490,0
male,General Jewish,70-79,FebA,13/08/2021,2nd,16218,0
male,General Jewish,70-79,FebA,13/08/2021,12+,741,0
male,General Jewish,70-79,FebB,13/08/2021,2nd,3697,0.540979172
male,General Jewish,70-79,FebB,13/08/2021,12+,35,0
male,General Jewish,80+,JanB,13/08/2021,2nd,9766,0
